121: [None, 'L3 = Faça uma MT que tenha como entrada um número binário qualquer e gere como saída o QUÁDRUPLO DO NÚMERO BINÁRIO', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 'entrada', 'decimal', 'saída', None, None, None]
122: [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 0, 0, 0, None, None, None]
123: [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1, 1, '100', None, None, None]
124: [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 10, 2, '1000', None, None, None]
131: [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 11, 3, '1100', None, None, '□□□□□□1010□□□□□']
132: [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 100, 4, '10000', None, None, None]
133: [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 101, 5, '10100', None, None, '□□□□□□101000□□□']
134: [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 110, 6, '11000', None, None, None]
135: [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 111, 7, '11100', None, None, None]
136: [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1000, 8, None, None, None, None]
137: [None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1001, 9, None, None, None, None]
138: [None, 'MT - DESCRIÇÃO FORMAL', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1010, 10, None, None, None, None]
139: [None, 'Σ = {0,1}', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1011, 11, None, None, None, None]
140: [None, 'E = {q0,q1.q2.q3}', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1100, 12, None, None, None, None]
141: [None, 'i = q0', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1101, 13, None, None, None, None]
142: [None, 'F = {q3}', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1110, 14, None, None, None, None]
143: [None, 'β = □', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, 1111, 15, None, None, None, None]
144: [None, 'Γ = {□}', None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]
145: [None, None, None, None, None, None, None, None, None, 'Σ', None, 'Γ', None, None, None, None, None, None, None, None, None, None, None, None, None, None]
146: [None, None, None, None, None, None, None, None, None, 0, 1, '□', None, None, None, None, None, None, None, None, None, None, None, None, None, None]
147: [None, None, None, None, None, None, None, None, 'q0', 'q0,0,R', 'q0,1,R', 'q1,0,R', None, None, None, None, None, None, None, None, None, None, None, None, None, None]
148: [None, None, None, None, None, None, None, None, 'q1', None, None, 'q2,0,L', None, None, None, None, None, None, None, None, None, None, None, None, None, None]
